,Task ID,Member IDs,Agent IDs,Created At,Updated At
0,295,30,11,2025-07-27T18:28:54.700Z,2025-07-27T18:28:54.700Z
1,296,30,11,2025-07-27T18:29:00.737Z,2025-07-27T18:29:00.737Z
2,297,30,11,2025-07-27T18:29:07.144Z,2025-07-27T18:29:07.144Z
3,298,30,11,2025-07-27T18:29:18.458Z,2025-07-27T18:29:18.458Z
4,299,30,11,2025-07-27T18:29:26.971Z,2025-07-27T18:29:26.971Z
5,300,"30,26",11,2025-07-27T18:29:34.938Z,2025-07-27T18:29:34.938Z
6,301,30,11,2025-07-27T18:29:41.885Z,2025-07-27T18:29:41.885Z
7,302,30,11,2025-07-27T18:29:49.900Z,2025-07-27T18:29:49.900Z
8,303,30,11,2025-07-27T18:29:56.575Z,2025-07-27T18:29:56.575Z
9,304,30,11,2025-07-27T18:30:03.689Z,2025-07-27T18:30:03.689Z
10,305,27,"9,8",2025-07-27T18:30:20.976Z,2025-07-27T18:30:20.976Z
11,306,30,"11,10",2025-07-27T18:30:28.386Z,2025-07-27T18:30:28.386Z
12,307,"30,26",11,2025-07-27T18:30:38.678Z,2025-07-27T18:30:38.678Z
13,308,30,11,2025-07-27T18:30:45.873Z,2025-07-27T18:30:45.873Z
14,309,"30,27",11,2025-07-27T18:30:57.492Z,2025-07-27T18:30:57.492Z
15,310,30,11,2025-07-27T18:31:03.746Z,2025-07-27T18:31:03.746Z
16,311,"30,26",11,2025-07-27T18:31:11.147Z,2025-07-27T18:31:11.147Z
17,312,26,7,2025-07-27T18:31:16.300Z,2025-07-27T18:31:16.300Z
18,313,"26,28",7,2025-07-27T18:31:26.335Z,2025-07-27T18:31:26.335Z
19,314,28,7,2025-07-27T18:31:46.216Z,2025-07-27T18:31:46.216Z
20,315,30,7,2025-07-27T18:31:51.168Z,2025-07-27T18:31:51.168Z
21,316,28,7,2025-07-27T18:31:58.735Z,2025-07-27T18:31:58.735Z
22,317,"30,26",11,2025-07-27T18:32:08.429Z,2025-07-27T18:32:08.429Z
23,318,28,7,2025-07-27T18:32:17.744Z,2025-07-27T18:32:17.744Z
24,319,30,11,2025-07-27T18:32:26.622Z,2025-07-27T18:32:26.622Z
25,320,"30,28",11,2025-07-27T18:32:33.943Z,2025-07-27T18:32:33.943Z
26,321,26,"7,10",2025-07-27T18:32:40.772Z,2025-07-27T18:32:40.772Z
27,322,26,7,2025-07-27T18:32:50.139Z,2025-07-27T18:32:50.139Z
28,323,28,7,2025-07-27T18:32:57.591Z,2025-07-27T18:32:57.591Z
29,324,26,10,2025-07-27T18:33:04.177Z,2025-07-27T18:33:04.177Z
30,325,26,10,2025-07-27T18:33:11.575Z,2025-07-27T18:33:11.575Z
31,326,"30,27","9,11",2025-07-27T18:33:19.600Z,2025-07-27T18:33:19.600Z
32,327,30,11,2025-07-27T18:33:27.311Z,2025-07-27T18:33:27.311Z
33,328,26,7,2025-07-27T18:33:35.469Z,2025-07-27T18:33:35.469Z
34,329,26,"7,10",2025-07-27T18:33:47.662Z,2025-07-27T18:33:47.662Z
35,330,26,7,2025-07-27T18:33:54.549Z,2025-07-27T18:33:54.549Z
36,332,"26,29","10,7",2025-07-27T18:34:08.570Z,2025-07-27T18:34:08.570Z
37,333,26,10,2025-07-27T18:34:16.205Z,2025-07-27T18:34:16.205Z
38,334,29,8,2025-07-27T18:34:24.821Z,2025-07-27T18:34:24.821Z
39,335,26,7,2025-07-27T18:34:30.443Z,2025-07-27T18:34:30.443Z
40,336,"27,26",9,2025-07-27T18:34:37.796Z,2025-07-27T18:34:37.796Z
41,337,29,8,2025-07-27T18:34:45.381Z,2025-07-27T18:34:45.381Z
42,338,"29,26",10,2025-07-27T18:34:53.405Z,2025-07-27T18:34:53.405Z
43,339,26,10,2025-07-27T18:35:04.471Z,2025-07-27T18:35:04.471Z
44,340,"26,27",10,2025-07-27T18:35:13.413Z,2025-07-27T18:35:13.413Z
45,341,26,7,2025-07-27T18:35:20.202Z,2025-07-27T18:35:20.202Z
46,342,27,10,2025-07-27T18:35:27.212Z,2025-07-27T18:35:27.212Z
47,343,27,9,2025-07-27T18:35:36.062Z,2025-07-27T18:35:36.062Z
48,344,27,10,2025-07-27T18:35:48.828Z,2025-07-27T18:35:48.828Z
49,345,26,"10,7",2025-07-27T18:36:01.112Z,2025-07-27T18:36:01.112Z
50,346,27,9,2025-07-27T18:36:10.070Z,2025-07-27T18:36:10.070Z
51,347,26,7,2025-07-27T18:36:23.460Z,2025-07-27T18:36:23.460Z
52,348,"27,26",9,2025-07-27T18:36:31.760Z,2025-07-27T18:36:31.760Z
53,349,27,9,2025-07-27T18:36:41.297Z,2025-07-27T18:36:41.297Z
54,350,"29,27",9,2025-07-27T18:36:49.883Z,2025-07-27T18:36:49.883Z
55,351,27,9,2025-07-27T18:36:59.382Z,2025-07-27T18:36:59.382Z
56,352,27,"9,7",2025-07-27T18:37:05.840Z,2025-07-27T18:37:05.840Z
57,353,26,10,2025-07-27T18:37:11.888Z,2025-07-27T18:37:11.888Z
